gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;gene_name;product;significance
AENJPLPP_00096;3868.85823036917;3.83559531563572;0.0679166866562962;56.4750064302518;0;0;yfiY;putative siderophore-binding lipoprotein YfiY;Up in serum
AENJPLPP_00119;63818.942581022;3.08440454838351;0.05441848311393;56.6793554668922;0;0;argS;Arginine--tRNA ligase;Up in serum
AENJPLPP_00124;28687.0069622063;-2.7934596848953;0.0607300886143632;-45.9979517341693;0;0;rpsB;30S ribosomal protein S2;Down in serum
AENJPLPP_00144;3438.009191537;2.5900836430902;0.0669018229996896;38.7146945622426;0;0;gdhIV;Glucose 1-dehydrogenase 4;Up in serum
AENJPLPP_00145;2665.22108619093;3.12296116271226;0.0732446378618957;42.6374032813251;0;0;glcU_1;Glucose uptake protein GlcU;Up in serum
AENJPLPP_00186;25761.8120492439;-2.1268681852645;0.0501427986165264;-42.4162241427728;0;0;tig;Trigger factor;Down in serum
AENJPLPP_00189;2935.16311702776;2.96427432360426;0.0726369214876835;40.8094707607741;0;0;;hypothetical protein;Up in serum
AENJPLPP_00192;5503.84438181119;-5.4287531679565;0.0856676974492247;-63.3698970510341;0;0;glcR;HTH-type transcriptional repressor GlcR;Down in serum
AENJPLPP_00193;8861.97254050175;-6.03958851728121;0.104860581303619;-57.5963669302374;0;0;lacC_1;Tagatose-6-phosphate kinase;Down in serum
AENJPLPP_00194;8238.78479002615;-5.51414032242422;0.0714513372653625;-77.1733676858321;0;0;fruA_1;PTS system fructose-specific EIIABC component;Down in serum
AENJPLPP_00268;5001.17778697512;4.65871563071091;0.0736524324405199;63.2527056655351;0;0;;hypothetical protein;Up in serum
AENJPLPP_00308;1228.75034532076;4.99163764860482;0.120710656902728;41.3520875180657;0;0;;hypothetical protein;Up in serum
AENJPLPP_00310;3702.60173111491;7.44522993934081;0.139605568937343;53.3304652243662;0;0;gspA_1;General stress protein A;Up in serum
AENJPLPP_00311;2359.21180906817;7.28622735950481;0.163035531261904;44.691039450781;0;0;gspA_2;General stress protein A;Up in serum
AENJPLPP_00313;3466.98134219328;7.43778348954098;0.149371993915318;49.7936948860549;0;0;;hypothetical protein;Up in serum
AENJPLPP_00315;3058.01309546603;3.57230192637981;0.0899170452979946;39.7288624703005;0;0;;hypothetical protein;Up in serum
AENJPLPP_00316;15499.6122349261;4.27376339643081;0.0762743296839518;56.0314776169055;0;0;;hypothetical protein;Up in serum
AENJPLPP_00317;1557.94576764377;3.73211113446152;0.0890004928617895;41.9336007527192;0;0;;hypothetical protein;Up in serum
AENJPLPP_00322;7445.44573067473;3.15305252977389;0.0770945356104473;40.8985215982883;0;0;;hypothetical protein;Up in serum
AENJPLPP_00324;6235.54801011501;3.12728504184389;0.0721031136608806;43.3723993744891;0;0;;Stress response regulator gls24 ;Up in serum
AENJPLPP_00331;2783.80639403152;-3.03523736695265;0.0724540410378614;-41.891898967603;0;0;dxs;1-deoxy-D-xylulose-5-phosphate synthase;Down in serum
AENJPLPP_00344;9608.45203476445;-4.59316028721021;0.0715606616346415;-64.1855480691465;0;0;ahpF;NADH dehydrogenase;Down in serum
AENJPLPP_00345;2926.38049114126;-4.97070340563275;0.0964535765963229;-51.5346717150378;0;0;ahpC;Alkyl hydroperoxide reductase C;Down in serum
AENJPLPP_00372;1860.9173955794;-3.18620128314341;0.078645558662688;-40.513429331834;0;0;nupC;Nucleoside permease NupC;Down in serum
AENJPLPP_00373;2964.81169902814;-3.24141185336389;0.0708514003403785;-45.7494395000207;0;0;;hypothetical protein;Down in serum
AENJPLPP_00392;11518.2648322557;5.60922855905667;0.0750847413303213;74.7053057608591;0;0;ysnF;Stress response protein YsnF;Up in serum
AENJPLPP_00410;2295.04161149322;4.8345957091194;0.106944086218684;45.2067606546604;0;0;;hypothetical protein;Up in serum
AENJPLPP_00427;4726.23596755296;3.08514776919009;0.0607376318898937;50.7946667196855;0;0;;hypothetical protein;Up in serum
AENJPLPP_00449;12540.105133102;3.65556146489978;0.0673867484172141;54.2474826395683;0;0;fhs1;Formate--tetrahydrofolate ligase 1;Up in serum
AENJPLPP_00455;14068.9740961145;-2.11133646060712;0.0520194947646583;-40.5874080507516;0;0;alaS;Alanine--tRNA ligase;Down in serum
AENJPLPP_00486;1969.93510443875;3.95312399414534;0.0905524709840137;43.6556170272067;0;0;;hypothetical protein;Up in serum
AENJPLPP_00494;16662.5264437541;2.84954551418117;0.053692003281084;53.0720654854963;0;0;gap_1;Glyceraldehyde-3-phosphate dehydrogenase;Up in serum
AENJPLPP_00499;4403.45749280618;-3.27838014519125;0.068933873100006;-47.5583337735155;0;0;fabZ_1;3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ;Down in serum
AENJPLPP_00500;7030.04492983305;-3.67489816503077;0.0770555034191178;-47.6915729826899;0;0;fabI;Enoyl-[acyl-carrier-protein] reductase [NADH] FabI;Down in serum
AENJPLPP_00513;3369.44921303474;-2.84625221841699;0.0662417841701464;-42.9676261603432;0;0;pheS;Phenylalanine--tRNA ligase alpha subunit;Down in serum
AENJPLPP_00528;14153.9064113567;7.75562445371592;0.10099640470775;76.7910944568587;0;0;;hypothetical protein;Up in serum
AENJPLPP_00580;32413.8443166595;5.80642498961303;0.087077525750647;66.6810975571373;0;0;ydhF;Oxidoreductase YdhF;Up in serum
AENJPLPP_00591;28218.8155118357;3.72095257657659;0.0603698374918084;61.6359548273007;0;0;purB;Adenylosuccinate lyase;Up in serum
AENJPLPP_00592;9608.48892597635;3.45853985904793;0.0579414481140333;59.6902557948025;0;0;purK;N5-carboxyaminoimidazole ribonucleotide synthase;Up in serum
AENJPLPP_00593;3083.76309058547;5.63710666170996;0.104412108767472;53.9890126562227;0;0;purE;N5-carboxyaminoimidazole ribonucleotide mutase;Up in serum
AENJPLPP_00658;6842.35452076235;-2.33420093103738;0.059297371812204;-39.3643235728868;0;0;topA;DNA topoisomerase 1;Down in serum
AENJPLPP_00662;1701.19157107017;5.12879113412231;0.105169205393199;48.7670427379111;0;0;;hypothetical protein;Up in serum
AENJPLPP_00663;3936.33685411109;6.97722552224783;0.122110480347783;57.1386297259332;0;0;folT_1;Folate transporter FolT;Up in serum
AENJPLPP_00712;21187.1701370306;2.89454907689483;0.0742208151794094;38.9991550200306;0;0;tuf_1;Elongation factor Tu;Up in serum
AENJPLPP_00808;13917.767966532;4.68434192937861;0.074548235608378;62.8363889654844;0;0;pbuO;Guanine/hypoxanthine permease PbuO;Up in serum
AENJPLPP_00819;8845.30913008506;-2.37769792221463;0.0564369905928399;-42.1301330428537;0;0;yeeN;putative transcriptional regulatory protein YeeN;Down in serum
AENJPLPP_00820;4412.51344852091;-3.10908924149159;0.0662234739029878;-46.9484468006943;0;0;tmcAL;tRNA(Met) cytidine acetate ligase;Down in serum
AENJPLPP_00821;7857.65516799762;-2.51402102643466;0.0548815897658506;-45.8080940650698;0;0;COQ5_1;2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase%2C mitochondrial;Down in serum
AENJPLPP_00822;4409.63936889392;-2.58376057868587;0.0615104791245526;-42.0052097700948;0;0;rsfS;Ribosomal silencing factor RsfS;Down in serum
AENJPLPP_00823;6652.13431907076;-2.42110329525288;0.0586001273431652;-41.3156661089622;0;0;;hypothetical protein;Down in serum
AENJPLPP_00826;9929.05375067395;-2.97994396516802;0.0568602256961494;-52.4082331486388;0;0;yqeH;putative protein YqeH;Down in serum
AENJPLPP_00827;6743.25622318257;-3.71626881592271;0.0654024253050878;-56.8215750193841;0;0;;hypothetical protein;Down in serum
AENJPLPP_00828;14319.1186340692;-4.87538707334951;0.077268469065592;-63.0967214998251;0;0;accA;Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha;Down in serum
AENJPLPP_00829;13943.0132993542;-4.88112809738723;0.0736382164094204;-66.2852569683206;0;0;accD;Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta;Down in serum
AENJPLPP_00830;27476.714920867;-5.23067059693881;0.0629762901348158;-83.0577759620535;0;0;cfiB;2-oxoglutarate carboxylase small subunit;Down in serum
AENJPLPP_00831;8105.22983974644;-5.37030497264576;0.0983845356518122;-54.5848484933805;0;0;fabZ_2;3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ;Down in serum
AENJPLPP_00832;10241.9387976903;-5.24812408527134;0.0912722011372368;-57.499698921255;0;0;accB;Biotin carboxyl carrier protein of acetyl-CoA carboxylase;Down in serum
AENJPLPP_00833;19552.3088020452;-5.26335663274146;0.0776032783618295;-67.8238953797902;0;0;fabF;3-oxoacyl-[acyl-carrier-protein] synthase 2;Down in serum
